name,touristArrivals,tourismReceipts,pop2019
Equatorial Guinea,0,0,1355.986
Gabon,0,0,2172.579
Libya,0,60000000,6777.452
Turkmenistan,0,0,5942.089
Guinea-Bissau,22000,1319000000,1920.922
Djibouti,51000,1833000000,973.56
Central African Republic,54000,11000000,4745.185
San Marino,60000,0,33.86
Chad,71000,0,15946.876
Moldova,121000,243000000,4043.263
Grenada,135000,149000000,112.003
Eritrea,142000,48000000,3497.117
Niger,152000,77000000,23310.715
Burkina Faso,152000,72122000000,20321.378
Tajikistan,160000,248000000,9321.018
Gambia,161000,116000000,2347.706
Mali,173000,200000000,19658.031
Burundi,187000,22000000,11530.58
French Guiana,189000,0,290.832
French Polynesia,192000,488000000,279.287
Kuwait,203000,599000000,4207.083
Bhutan,210000,91000000,763.092
Republic of the Congo,211000,27000000,5380.508
Brunei,219000,144000000,433.285
Guyana,235000,0,782.766
Bermuda,244000,513000000,62.506
Haiti,255000,504000000,11263.077
Suriname,257000,546000000,581.372
Benin,267000,123000000,11801.151
Madagascar,293000,750000000,26969.307
Bangladesh,303000,133000000,163046.161
Seychelles,303000,414000000,97.739
Monaco,336000,0,38.964
Togo,338000,0,8082.366
Saint Lucia,348000,404000000,182.79
DR Congo,351000,4000000,86790.567
Cayman Islands,385000,686000000,64.948
Angola,397000,623000000,31825.295
Palestine,400000,235000000,4981.42
Mongolia,404000,316000000,3225.167
British Virgin Islands,408000,389000000,30.03
Trinidad and Tobago,409000,464000000,1394.973
Lesotho,414000,823000000,2125.268
Reunion,458000,360000000,888.927
Martinique,519000,365000000,375.554
Cameroon,569000,505000000,25876.38
Guadeloupe,580000,0,400.056
Cape Verde,598000,370000000,549.935
Venezuela,601000,473000000,28515.829
Barbados,632000,1040000000,287.025
United States Virgin Islands,667000,1343000000,104.578
Liechtenstein,697000,0,38.019
Nepal,753000,446000000,28608.71
Bosnia and Herzegovina,777000,724000000,3301
Fiji,792000,777000000,889.953
Sudan,800000,1029000000,42813.238
Malawi,849000,631000000,18628.747
Ethiopia,871000,346000000,112078.73
Dominica,879000,0,71.808
Senegal,900000,453000000,16296.364
Pakistan,907000,322000000,216565.318
Honduras,908000,693000000,9746.117
Ghana,931000,846000000,30417.856
Rwanda,932000,390000000,12626.95
Zambia,956000,683000000,17861.03
Bolivia,959000,713000000,11513.1
Uzbekistan,975000,121000000,32981.716
Yemen,1025000,1161000000,29161.922
Luxembourg,1054000,4076000000,615.729
Aruba,1102000,1625000000,106.314
Tanzania,1233000,2132000000,58005.463
Guinea,1260000,0,12771.246
Armenia,1260000,968000000,2957.731
Kenya,1268000,824000000,52573.973
Mauritius,1275000,1572000000,1269.668
Serbia,1281000,1151000000,8772.235
Maldives,1286000,2506000000,530.953
Paraguay,1308000,519000000,7044.636
Uganda,1323000,1060000000,44269.594
Ecuador,1418000,1444000000,17373.662
El Salvador,1434000,829000000,6453.553
Namibia,1469000,307000000,2494.53
Bahamas,1482000,2591000000,389.482
Nicaragua,1504000,642000000,6545.502
Iraq,1518000,2423000000,39309.783
Guatemala,1585000,1550000000,17581.472
Mozambique,1639000,108000000,30366.036
Montenegro,1662000,925000000,627.987
Lebanon,1688000,7044000000,6855.713
Iceland,1792000,2395000000,339.031
Latvia,1793000,867000000,1906.743
Ivory Coast,1800000,379000000,25716.544
Nigeria,1889000,1070000000,200963.599
Panama,1921000,4404000000,4246.439
Malta,1966000,1449000000,440.372
Botswana,1973000,578000000,2303.697
Belarus,2000000,790000000,9452.411
Algeria,2039000,209000000,43053.054
Azerbaijan,2045000,2714000000,10047.718
Sri Lanka,2051000,3518000000,21323.733
Zimbabwe,2168000,890000000,14645.468
Jamaica,2182000,2539000000,2948.279
Oman,2292000,1725000000,4974.986
Lithuania,2296000,1206000000,2759.627
Romania,2481000,1738000000,19364.557
Georgia,2721000,2166000000,3996.765
Finland,2789000,2731000000,5532.156
Andorra,2831000,0,77.142
Israel,2900000,5883000000,8519.377
Myanmar,2907000,2260000000,54045.42
Costa Rica,2925000,3716000000,5047.561
Kyrgyzstan,2930000,432000000,6415.85
Qatar,2938000,5411000000,2832.067
Kazakhstan,2991000,1549000000,18551.427
Slovenia,3032000,2424000000,2078.654
Uruguay,3037000,2071000000,3461.734
Estonia,3131000,1489000000,1325.648
Cyprus,3187000,2755000000,1198.575
Laos,3315000,712000000,7169.455
Colombia,3317000,4522000000,50339.443
New Zealand,3370000,9475000000,4783.063
Jordan,3567000,4044000000,10101.694
Puerto Rico,3736000,3985000000,2933.408
Peru,3744000,3501000000,32510.453
Sierra Leone,3954000,0,7813.215
Cuba,3975000,2907000000,11333.483
Albania,4070000,1691000000,2880.917
Bahrain,4372000,3642000000,1641.172
Iran,4942000,3713000000,82913.906
Cambodia,5012000,3208000000,16486.542
Egypt,5258000,2645000000,100388.073
Slovakia,5415000,2748000000,5457.013
Chile,5641000,2665000000,18952.038
Tunisia,5724000,1236000000,11694.719
Dominican Republic,5959000,6720000000,10738.958
Norway,5960000,5204000000,5378.857
Philippines,5967000,5143000000,108116.615
Brazil,6547000,6024000000,211049.527
Sweden,6559000,12754000000,10036.379
Argentina,6638000,4686000000,44780.677
Belgium,7481000,11612000000,11539.328
Bulgaria,8252000,3634000000,7000.119
Australia,8269000,37040000000,25203.198
Syria,8546000,6190000000,17070.135
Vietnam,10013000,8250000000,96462.106
South Africa,10044000,7910000000,58558.27
Ireland,10100000,5186000000,4882.495
Morocco,10332000,6549000000,36471.769
Switzerland,10402000,16257000000,8591.365
Taiwan,10690000,13375000000,23773.876
Denmark,10781000,7047000000,5771.876
Indonesia,11072000,11206000000,270625.568
Czech Republic,12808000,6309000000,10689.209
Singapore,12914000,18945000000,5804.337
Ukraine,13333000,1078000000,43993.638
Croatia,13809000,9634000000,4130.304
India,14570000,22427000000,1366417.754
United Arab Emirates,14870000,19496000000,9770.529
Hungary,15256000,5664000000,9684.679
Netherlands,15828000,14054000000,17097.13
South Korea,17242000,17332000000,51225.308
Poland,17463000,10977000000,37887.768
Saudi Arabia,18044000,11096000000,34268.528
Portugal,18200000,771000000,10226.187
Canada,19971000,18021000000,37411.047
Japan,24039000,30679000000,126860.301
Russia,24571000,7785000000,145872.256
Greece,24799000,14619000000,10473.455
Hong Kong,26553000,32846000000,7436.154
Malaysia,26757000,18075000000,31949.777
Austria,28121000,19260000000,8955.102
Turkey,30289000,18743000000,83429.615
Thailand,32588000,48792000000,69625.582
Mexico,35079000,19650000000,127575.529
Germany,35595000,37455000000,83517.045
United Kingdom,35814000,47906000000,67530.172
Italy,52372000,40246000000,60550.075
China,59270000,44432000000,1433783.686
Spain,75315000,60503000000,46736.776
United States,76407000,2.06902E+11,329064.917
France,82700000,54531000000,65129.728
Afghanistan,20000,NaN,35530.111
Macau,12897108,NaN,644.901
Faroe Islands,60000,NaN,49.29
North Macedonia,1184963,NaN,2077.1
