,0
Afghanistan,-564.3631648309731
Algeria,1308.527685596391
Andorra,0.8709179834833096
Argentina,2683.2310244495475
Armenia,140.83260247792694
Australia,838.2603433640845
Austria,390.28681535633837
Azerbaijan,416.5247529300139
Bahrain,-24.517463328621428
Belarus,272.73463452932316
Belgium,154.91661965371097
Bhutan,23.58571271924557
Bosnia and Herzegovina,-136.6739843819276
Brazil,-8860.332701112184
Cambodia,-669.8373142861614
Cameroon,-247.23586021851003
Canada,1924.646901266553
Chile,-307.90629793220415
Colombia,497.8003069350529
Costa Rica,-48.1234247750582
Croatia,-150.74557286676657
Czech Republic,-377.62417566250633
Denmark,127.27615894405696
Dominican Republic,299.2479104673909
Ecuador,372.07955611602716
Egypt,615.9276300515571
Estonia,-26.09013681418022
Faroe Islands,-1.2230308105788608
Finland,283.8927712459546
France,1652.4222103336353
Georgia,74.48726172819279
Germany,209.47117328493604
Greece,118.04897826906408
Hong Kong,219.08937649202025
Hungary,1023.2342157703534
Iceland,12.846698599021078
India,104743.47861436388
Indonesia,-10594.17396197839
Iran,634.5106207673299
Iraq,246.25813597478574
Ireland,34.24615194704579
Israel,227.88672121112947
Italy,4143.277809141293
Japan,6909.920256466694
Jordan,-151.53955336862563
Kuwait,159.48041663461407
Latvia,46.381348616680654
Lebanon,30.79594471567467
Liechtenstein,1.925603291283634
Lithuania,-29.720893752152477
Luxembourg,26.495566847587337
Macau,25.272403249685944
Malaysia,341.1733325520155
Malta,6.5202712404652425
Mexico,2691.3540626543677
Monaco,3.6498068834332487
Morocco,176.95520337715604
Nepal,1016.5064894332681
Netherlands,362.00464874994424
New Zealand,136.50906370310116
Nigeria,-1554.954680218508
North Macedonia,72.69198613405706
Norway,227.46972912245428
Oman,95.0442252013768
Pakistan,4450.164920827951
Peru,548.724876548686
Philippines,3292.7019877681746
Poland,1821.966843290117
Portugal,271.66647004983776
Qatar,-5.967043779554953
Romania,336.448743466937
Russia,488.13858913242956
San Marino,5.279938321779483
Saudi Arabia,1503.572574561553
Senegal,457.35528517489143
Serbia,-434.3054251544056
Singapore,149.61006665729752
Slovenia,35.65182378479815
South Africa,-3196.4506938576988
South Korea,3503.7225289071066
Spain,642.9876671238447
Sri Lanka,457.5296974884429
Sweden,492.8353827683328
Switzerland,165.60984895473732
Thailand,1212.0753175953173
Togo,-64.50819732889106
Tunisia,25.78825290254753
Ukraine,-769.4423092912706
United Arab Emirates,-9.75027257094179
United Kingdom,1615.302309989045
United States,-19282.489646300146
Vietnam,-4317.739980187142
